date	power	latitude	longitude
02.10.4 2:06	2.4	38.1 N	126.4 E
02.9.19 3:10	2.9	35.6 N	125.4 E
02.9.16 7:36	2.8	36.1 N	128.3 E
02.9.15 16:40	2.5	35.9 N	129.7 E
02.8.13 16:07	2.7	35.1 N	125.2 E
02.8.10 21:47	4	35.1 N	123.4 E
02.8.6 21:37	2.5	35.7 N	127.6 E
02.8.6 7:32	3	34.7 N	127.4 E
02.7.17 6:50	3.3	38.0 N	124.4 E
02.7.12 8:17	2.1	35.9 N	129.8 E
02.7.9 4:01	3.8	35.9 N	129.6 E
02.7.2 1:49	2.3	35.8 N	128.0 E
02.6.23 11:12	2	34.7 N	126.6 E
02.6.7 22:24	2.8	38.4 N	125.3 E
02.5.29 18:22	2.4	34.7 N	127.9 E
02.4.17 7:52	3.9	40.5 N	128.5 E
02.4.14 12:29	2.4	35.1 N	125.0 E
02.4.1 7:46	2.5	37.3 N	128.1 E
02.3.25 18:10	2.4	37.1 N	127.2 E
02.3.25 5:31	2.4	37.4 N	129.2 E
02.3.22 11:28	3.5	38.3 N	124.5 E
02.3.17 9:26	3.9	38.1 N	124.3 E
02.3.12 20:04	2.4	34.9 N	127.4 E
02.3.8 2:09	2.4	35.5 N	126.1 E
02.3.7 23:30	3	36.5 N	126.6 E
02.2.28 22:26	2.1	36.7 N	128.1 E
02.2.7 9:31	2.4	36.1 N	129.2 E
02.2.3 22:44	2.6	35.0 N	125.0 E
02.1.17 20:16	2.9	35.1 N	125.0 E
02.1.17 6:28	2.8	36.2 N	126.2 E
02.1.8 8:18	2.8	35.8 N	128.2 E
02.1.7 17:10	3.1	35.4 N	128.8 E
02.1.4 0:33	2.3	34.8 N	127.4 E
01.11.30 11:18	2.4	35.9 N	127.5 E
01.11.24 16:10	4.1	36.7 N	129.9 E
01.11.21 10:49	3.5	36.7 N	128.3 E
01.11.13 6:15	1.9	36.5 N	127.9 E
01.11.9 13:54	2.6	34.7 N	126.9 E
01.10.28 22:27	2.1	37.1 N	129.0 E
01.10.1 3:35	2.6	36.0 N	127.7 E
01.9.24 9:33	2.6	35.5 N	127.5 E
01.9.19 8:47	2.6	36.6 N	126.9 E
01.9.15 2:32	2.2	35.6 N	125.9 E
01.9.13 6:07	2.2	36.4 N	127.0 E
01.9.7 8:42	2.8	34.8 N	127.4 E
01.8.24 11:12	3.1	35.9 N	128.2 E
01.8.20 21:04	2.5	34.0 N	125.5 E
01.8.6 23:46	2.3	36.7 N	128.3 E
01.7.27 10:04	2.2	36.5 N	128.0 E
01.7.26 19:55	2	36.2 N	127.4 E
01.7.23 17:29	3.5	36.4 N	128.0 E
01.7.15 20:01	2.3	36.7 N	127.0 E
01.6.29 11:21	3.6	35.8 N	126.6 E
01.6.17 1:04	2.3	35.7 N	126.4 E
01.6.16 21:26	2.2	36.0 N	127.9 E
01.6.13 13:53	2.9	34.8 N	127.3 E
01.6.9 0:36	2.3	36.7 N	128.8 E
01.5.28 7:25	2.1	36.4 N	127.8 E
01.5.27 20:24	2.5	35.8 N	129.7 E
01.5.27 15:25	2.6	34.1 N	127.6 E
01.5.25 0:06	2.6	33.6 N	126.8 E
01.5.16 1:09	2	36.0 N	126.7 E
